old,new,kind,status,note
/2012/09/the-project-managers-nightmare/,/2012/09/the-project-managers-nightmare/,artikel,EXACT,
/2012/09/we-want-a-city-scrum-simulation-with-lego-extension/,/2012/09/we-want-a-city-scrum-simulation-with-lego-extension/,artikel,EXACT,
/2012/10/balloon-animals/,/2012/10/balloon-animals/,artikel,EXACT,
/2012/10/balloon-animals/balloon-twisting-tips/,/2012/10/balloon-animals/,attachment,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/balloon-twisting-tips/feed/,/2012/10/balloon-animals/,feed,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/comment-page-1/,/2012/10/balloon-animals/,reactiepagina,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/feed/,/2012/10/balloon-animals/,feed,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-balloon-dog/,/2012/10/balloon-animals/,attachment,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-balloon-dog/feed/,/2012/10/balloon-animals/,feed,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-basic-hat/,/2012/10/balloon-animals/,attachment,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-basic-hat/feed/,/2012/10/balloon-animals/,feed,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-sword/,/2012/10/balloon-animals/,attachment,REDIRECT,301 · 1 hop
/2012/10/balloon-animals/the-sword/feed/,/2012/10/balloon-animals/,feed,REDIRECT,301 · 1 hop
/2012/10/celebrity-prioritisation/,/2012/10/celebrity-prioritisation/,artikel,EXACT,
/2012/10/celebrity-prioritisation/comment-page-1/,/2012/10/celebrity-prioritisation/,reactiepagina,REDIRECT,301 · 1 hop
/2012/10/celebrity-prioritisation/feed/,/2012/10/celebrity-prioritisation/,feed,REDIRECT,301 · 1 hop
/2012/10/destroy/,/2012/10/destroy/,artikel,EXACT,
/2012/10/first-letter-last-letter/,/2012/10/first-letter-last-letter/,artikel,EXACT,
/2012/10/free-market-prioritisation/,/2012/10/free-market-prioritisation/,artikel,EXACT,
/2012/10/free-market-prioritisation/comment-page-1/,/2012/10/free-market-prioritisation/,reactiepagina,REDIRECT,301 · 1 hop
/2012/10/free-market-prioritisation/feed/,/2012/10/free-market-prioritisation/,feed,REDIRECT,301 · 1 hop
/2012/10/intuitions/,/2012/10/intuitions/,artikel,EXACT,
/2012/10/movements-of-a-hypnotic-nature/,/2012/10/movements-of-a-hypnotic-nature/,artikel,EXACT,
/2012/10/movements-of-a-hypnotic-nature/feed/,/2012/10/movements-of-a-hypnotic-nature/,feed,REDIRECT,301 · 1 hop
/2012/10/musical-bells/,/2012/10/musical-bells/,artikel,EXACT,
/2012/10/once-upon-a-time-in-legoland/,/2012/10/once-upon-a-time-in-legoland/,artikel,EXACT,
/2012/10/once-upon-a-time-in-legoland/feed/,/2012/10/once-upon-a-time-in-legoland/,feed,REDIRECT,301 · 1 hop
/2012/10/story-spines/,/2012/10/story-spines/,artikel,EXACT,
/2012/10/swedish-stories/,/2012/10/swedish-stories/,artikel,EXACT,
/2012/10/the-blame-game/,/2012/10/the-blame-game/,artikel,EXACT,
/2012/10/the-blame-game/feed/,/2012/10/the-blame-game/,feed,REDIRECT,301 · 1 hop
/2012/10/the-sprint-limerick/,/2012/10/the-sprint-limerick/,artikel,EXACT,
/2012/10/the-sprint-mural/,/2012/10/the-sprint-mural/,artikel,EXACT,
/2012/10/the-sprint-mural/comment-page-1/,/2012/10/the-sprint-mural/,reactiepagina,REDIRECT,301 · 1 hop
/2012/10/the-sprint-mural/feed/,/2012/10/the-sprint-mural/,feed,REDIRECT,301 · 1 hop
/2012/10/thirty-five/,/2012/10/thirty-five/,artikel,EXACT,
/2012/10/thirty-five/attachment/35/,/2012/10/thirty-five/,attachment,REDIRECT,301 · 1 hop
/2012/10/thirty-five/comment-page-1/,/2012/10/thirty-five/,reactiepagina,REDIRECT,301 · 1 hop
/2012/10/thirty-five/feed/,/2012/10/thirty-five/,feed,REDIRECT,301 · 1 hop
/2012/10/top-traits/,/2012/10/top-traits/,artikel,EXACT,
/2012/10/upside-downside/,/2012/10/upside-downside/,artikel,EXACT,
/2012/10/video-reframing/,/2012/10/video-reframing/,artikel,EXACT,
/2012/11/delight/,/2012/11/delight/,artikel,EXACT,
/2012/11/gift-box/,/2012/11/gift-box/,artikel,EXACT,
