from,to,status,reason
/2014/09/the-estimation-quest/feed/,/2014/09/the-estimation-quest/,301,attachmentpagina
/2014/10/team-responsibility-game/comment-page-1/,/2014/10/team-responsibility-game/,301,legacy URL
/2014/10/team-responsibility-game/feed/,/2014/10/team-responsibility-game/,301,attachmentpagina
/2014/11/user-stories-vs-requirements/comment-page-1/,/2014/11/user-stories-vs-requirements/,301,legacy URL
/2014/11/user-stories-vs-requirements/feed/,/2014/11/user-stories-vs-requirements/,301,attachmentpagina
/2014/12/team-trust-canvas/comment-page-1/,/2014/12/team-trust-canvas/,301,legacy URL
/2014/12/team-trust-canvas/feed/,/2014/12/team-trust-canvas/,301,attachmentpagina
/2014/12/team-trust-canvas/team-trust-canvas-eng/,/2014/12/team-trust-canvas/,301,attachmentpagina
/2014/12/team-trust-canvas/team-trust-canvas-eng/feed/,/2014/12/team-trust-canvas/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/comment-page-1/,/2015/01/hold-the-ball-longer-stronger-together/,301,legacy URL
/2015/01/hold-the-ball-longer-stronger-together/feed/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-3-2-section/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-3-2-section/feed/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-5-2-section/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-5-2-section/feed/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-6-3-section/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/hold-the-ball-longer-stronger-together/image-for-6-3-section/feed/,/2015/01/hold-the-ball-longer-stronger-together/,301,attachmentpagina
/2015/01/story-cube-time-line/comment-page-1/,/2015/01/story-cube-time-line/,301,legacy URL
/2015/01/story-cube-time-line/feed/,/2015/01/story-cube-time-line/,301,attachmentpagina
